Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2014-03-04T23:00:00,944,1,zendone.com,Project Management,2
2014-03-04T23:00:00,469,1,iTunes,Music,-2
2014-03-04T23:00:00,286,1,rescuetime.com,Intelligence,2
2014-03-04T23:00:00,229,1,airbnb.com,Travel &amp; Outdoors,2
2014-03-04T23:00:00,72,1,Finder,General Utilities,1
2014-03-04T23:00:00,65,1,google.com,Search,2
2014-03-04T23:00:00,52,1,beeminder.com,General Reference &amp; Learning,2
2014-03-04T23:00:00,45,1,javascript.crockford.com,Engineering &amp; Technology,2
2014-03-04T23:00:00,40,1,users,General Software Development,2
2014-03-04T23:00:00,37,1,loginwindow,General Utilities,1
2014-03-04T23:00:00,34,1,amazon.com,General Shopping,-2
2014-03-04T23:00:00,23,1,it-ebooks.info,Engineering &amp; Technology,2
2014-03-04T23:00:00,18,1,1password,Internet Utilities,-2
2014-03-04T23:00:00,18,1,RescueTime,Intelligence,2
2014-03-04T23:00:00,12,1,System Preferences,General Utilities,1
2014-03-04T23:00:00,9,1,1password mini,Uncategorized,0
2014-03-04T23:00:00,9,1,newtab,Browsers,0
2014-03-04T23:00:00,5,1,SecurityAgent,Systems Operations,2
2014-03-04T23:00:00,2,1,blog.rescuetime.com,Intelligence,2
2014-03-05T11:00:00,681,1,iTerm,Systems Operations,2
2014-03-05T11:00:00,492,1,Gmail,Email,0
2014-03-05T11:00:00,386,1,zendone.com,Project Management,2
2014-03-05T11:00:00,85,1,zulip,Uncategorized,0
2014-03-05T11:00:00,36,1,jauntful.com,Uncategorized,0
2014-03-05T11:00:00,32,1,google.com,Search,2
2014-03-05T11:00:00,26,1,wish,General Software Development,2
2014-03-05T11:00:00,19,1,app store,General Shopping,-2
2014-03-05T11:00:00,18,1,souen.net,Uncategorized,0
2014-03-05T11:00:00,13,1,github.com,General Software Development,2
2014-03-05T11:00:00,11,1,hackerschool.com,Uncategorized,0
2014-03-05T11:00:00,9,1,newtab,Browsers,0
2014-03-05T11:00:00,6,1,SecurityAgent,Systems Operations,2
2014-03-05T11:00:00,5,1,Finder,General Utilities,1
2014-03-05T11:00:00,2,1,users,General Software Development,2
2014-03-05T11:00:00,1,1,it-ebooks.info,Engineering &amp; Technology,2
2014-03-05T12:00:00,1301,1,iTerm,Systems Operations,2
2014-03-05T12:00:00,474,1,github.com,General Software Development,2
2014-03-05T12:00:00,219,1,dotfiles.github.io,Uncategorized,0
2014-03-05T12:00:00,195,1,google.com,Search,2
2014-03-05T12:00:00,189,1,natelandau.com,Uncategorized,0
2014-03-05T12:00:00,116,1,hackerschool.com,Uncategorized,0
2014-03-05T12:00:00,103,1,Twitter,General Social Networking,2
2014-03-05T12:00:00,100,1,apple.stackexchange.com,Engineering &amp; Technology,2
2014-03-05T12:00:00,97,1,Gmail,Email,0
2014-03-05T12:00:00,64,1,help.github.com,Systems Operations,2
2014-03-05T12:00:00,42,1,zulip,Uncategorized,0
2014-03-05T12:00:00,38,1,zendone.com,Project Management,2
2014-03-05T12:00:00,31,1,newtab,Browsers,0
2014-03-05T12:00:00,28,1,paradoxxxzero.github.io,Uncategorized,0
2014-03-05T12:00:00,26,1,loginwindow,General Utilities,1
2014-03-05T12:00:00,24,1,tldp.org,Search,2
2014-03-05T12:00:00,19,1,redfinsolutions.com,Uncategorized,0
2014-03-05T12:00:00,13,1,stackoverflow.com,General Software Development,2
2014-03-05T12:00:00,11,1,discussions.apple.com,Science &amp; Technology,-1
2014-03-05T12:00:00,6,1,1password mini,Uncategorized,0
2014-03-05T12:00:00,1,1,git.io,Uncategorized,0
2014-03-05T13:00:00,9,1,loginwindow,General Utilities,1
2014-03-05T14:00:00,42,1,github.com,General Software Development,2
2014-03-05T14:00:00,17,1,iTerm,Systems Operations,2
2014-03-05T15:00:00,1182,1,iTerm,Systems Operations,2
2014-03-05T15:00:00,411,1,coding.smashingmagazine.com,Engineering &amp; Technology,2
2014-03-05T15:00:00,324,1,google.com,Search,2
2014-03-05T15:00:00,278,1,w3schools.com,Engineering &amp; Technology,2
